task_name,timestamp_us,event_type
Blink,7348,START
Sensor,7363,START
Sensor,7889,STOP
Sensor,57323,START
Sensor,57848,STOP
Blink,107326,STOP
Sensor,107340,START
Sensor,107866,STOP
Sensor,157323,START
Sensor,157848,STOP
Blink,207325,START
Sensor,207340,START
Sensor,207866,STOP
Sensor,257323,START
Sensor,257848,STOP
Blink,307326,STOP
Sensor,307340,START
Sensor,307866,STOP
Sensor,357323,START
Sensor,357848,STOP
Blink,407325,START
Sensor,407341,START
Sensor,407866,STOP
Sensor,457323,START
Sensor,457848,STOP
Blink,507339,STOP
Sensor,507353,START
Sensor,507879,STOP
Sensor,557323,START
Sensor,557848,STOP
Blink,607325,START
Sensor,607340,START
Sensor,607866,STOP
Sensor,657323,START
Sensor,657848,STOP
Blink,707326,STOP
Sensor,707340,START
Sensor,707866,STOP
Sensor,757323,START
Sensor,757848,STOP
Blink,807325,START
Sensor,807340,START
Sensor,807866,STOP
Sensor,857323,START
Sensor,857848,STOP
Blink,907326,STOP
Sensor,907340,START
Sensor,907866,STOP
Sensor,957323,START
Sensor,957848,STOP
Blink,1009093,START
Sensor,1009109,START
Sensor,1009640,STOP
Sensor,1059323,START
Sensor,1059848,STOP
Blink,1108324,STOP
Sensor,1109323,START
Sensor,1109848,STOP
Sensor,1159323,START
Sensor,1159848,STOP
Blink,1208323,START
Sensor,1209323,START
Sensor,1209848,STOP
Sensor,1259323,START
Sensor,1259848,STOP
Blink,1308324,STOP
Sensor,1309323,START
Sensor,1309848,STOP
Sensor,1359323,START
Sensor,1359848,STOP
Blink,1408323,START
Sensor,1409323,START
Sensor,1409848,STOP
Sensor,1459323,START
Sensor,1459848,STOP
Blink,1508337,STOP
Sensor,1509323,START
Sensor,1509848,STOP
Sensor,1559323,START
Sensor,1559848,STOP
Blink,1608323,START
Sensor,1609323,START
Sensor,1609848,STOP
Sensor,1659323,START
Sensor,1659848,STOP
Blink,1708324,STOP
Sensor,1709323,START
Sensor,1709848,STOP
Sensor,1759323,START
Sensor,1759848,STOP
Blink,1808323,START
Sensor,1809323,START
Sensor,1809848,STOP
Sensor,1859323,START
Sensor,1859848,STOP
Blink,1908324,STOP
Sensor,1909323,START
Sensor,1909848,STOP
Sensor,1959323,START
Sensor,1959848,STOP
Blink,2010175,START
Sensor,2010191,START
Sensor,2010722,STOP
Sensor,2060323,START
Sensor,2060848,STOP
Blink,2109324,STOP
Sensor,2110323,START
Sensor,2110848,STOP
Sensor,2160323,START
Sensor,2160848,STOP
Blink,2209323,START
Sensor,2210323,START
Sensor,2210848,STOP
Sensor,2260323,START
Sensor,2260848,STOP
Blink,2309324,STOP
Sensor,2310323,START
Sensor,2310848,STOP
Sensor,2360323,START
Sensor,2360848,STOP
Blink,2409323,START
Sensor,2410323,START
Sensor,2410848,STOP
Sensor,2460323,START
Sensor,2460848,STOP
Blink,2509337,STOP
Sensor,2510323,START
Sensor,2510848,STOP
Sensor,2560323,START
Sensor,2560848,STOP
Blink,2609323,START
Sensor,2610323,START
Sensor,2610848,STOP
Sensor,2660323,START
Sensor,2660848,STOP
Blink,2709324,STOP
Sensor,2710323,START
Sensor,2710848,STOP
Sensor,2760323,START
Sensor,2760848,STOP
Blink,2809323,START
Sensor,2810323,START
Sensor,2810848,STOP
Sensor,2860323,START
Sensor,2860848,STOP
Blink,2909324,STOP
Sensor,2910323,START
Sensor,2910848,STOP
Sensor,2960323,START
Sensor,2960848,STOP
Blink,3011178,START
Sensor,3011194,START
Sensor,3011725,STOP
Sensor,3061323,START
Sensor,3061848,STOP
Blink,3110324,STOP
Sensor,3111323,START
Sensor,3111848,STOP
Sensor,3161323,START
Sensor,3161848,STOP
Blink,3210323,START
Sensor,3211323,START
Sensor,3211848,STOP
Sensor,3261323,START
Sensor,3261848,STOP
Blink,3310324,STOP
Sensor,3311323,START
Sensor,3311848,STOP
Sensor,3361323,START
Sensor,3361848,STOP
Blink,3410323,START
Sensor,3411323,START
Sensor,3411848,STOP
Sensor,3461323,START
Sensor,3461848,STOP
Blink,3510337,STOP
Sensor,3511323,START
Sensor,3511848,STOP
Sensor,3561323,START
Sensor,3561848,STOP
Blink,3610323,START
Sensor,3611323,START
Sensor,3611848,STOP
Sensor,3661323,START
Sensor,3661848,STOP
Blink,3710324,STOP
Sensor,3711323,START
Sensor,3711848,STOP
Sensor,3761323,START
Sensor,3761848,STOP
Blink,3810323,START
Sensor,3811323,START
Sensor,3811848,STOP
Sensor,3861323,START
Sensor,3861848,STOP
Blink,3910324,STOP
Sensor,3911323,START
Sensor,3911848,STOP
Sensor,3961323,START
Sensor,3961848,STOP
