task_name,timestamp_us,state
Blink,7349,RUNNING
Sensor,7364,RUNNING
Sensor,7890,BLOCKED
Sensor,57323,RUNNING
Sensor,57849,BLOCKED
Blink,107326,BLOCKED
Sensor,107341,RUNNING
Sensor,107866,BLOCKED
Sensor,157323,RUNNING
Sensor,157849,BLOCKED
Blink,207325,RUNNING
Sensor,207341,RUNNING
Sensor,207866,BLOCKED
Sensor,257323,RUNNING
Sensor,257849,BLOCKED
Blink,307326,BLOCKED
Sensor,307341,RUNNING
Sensor,307866,BLOCKED
Sensor,357323,RUNNING
Sensor,357849,BLOCKED
Blink,407325,RUNNING
Sensor,407341,RUNNING
Sensor,407866,BLOCKED
Sensor,457323,RUNNING
Sensor,457849,BLOCKED
Blink,507340,BLOCKED
Sensor,507354,RUNNING
Sensor,507880,BLOCKED
Sensor,557323,RUNNING
Sensor,557849,BLOCKED
Blink,607325,RUNNING
Sensor,607341,RUNNING
Sensor,607866,BLOCKED
Sensor,657323,RUNNING
Sensor,657849,BLOCKED
Blink,707326,BLOCKED
Sensor,707341,RUNNING
Sensor,707866,BLOCKED
Sensor,757323,RUNNING
Sensor,757849,BLOCKED
Blink,807325,RUNNING
Sensor,807341,RUNNING
Sensor,807866,BLOCKED
Sensor,857323,RUNNING
Sensor,857849,BLOCKED
Blink,907326,BLOCKED
Sensor,907341,RUNNING
Sensor,907866,BLOCKED
Sensor,957323,RUNNING
Sensor,957849,BLOCKED
Blink,1007339,RUNNING
Sensor,1007354,RUNNING
Sensor,1007880,BLOCKED
Sensor,1057323,RUNNING
Sensor,1057849,BLOCKED
Blink,1107326,BLOCKED
Sensor,1107341,RUNNING
Sensor,1107866,BLOCKED
Sensor,1157323,RUNNING
Sensor,1157849,BLOCKED
Blink,1207325,RUNNING
Sensor,1207341,RUNNING
Sensor,1207866,BLOCKED
Sensor,1257323,RUNNING
Sensor,1257849,BLOCKED
Blink,1307326,BLOCKED
Sensor,1307341,RUNNING
Sensor,1307866,BLOCKED
Sensor,1357323,RUNNING
Sensor,1357849,BLOCKED
Blink,1407325,RUNNING
Sensor,1407341,RUNNING
Sensor,1407866,BLOCKED
Sensor,1457323,RUNNING
Sensor,1457849,BLOCKED
Blink,1507340,BLOCKED
Sensor,1507354,RUNNING
Sensor,1507880,BLOCKED
Sensor,1557323,RUNNING
Sensor,1557849,BLOCKED
Blink,1607325,RUNNING
Sensor,1607341,RUNNING
Sensor,1607866,BLOCKED
Sensor,1657323,RUNNING
Sensor,1657849,BLOCKED
Blink,1707326,BLOCKED
Sensor,1707341,RUNNING
Sensor,1707866,BLOCKED
Sensor,1757323,RUNNING
Sensor,1757849,BLOCKED
Blink,1807325,RUNNING
Sensor,1807341,RUNNING
Sensor,1807866,BLOCKED
Sensor,1857323,RUNNING
Sensor,1857849,BLOCKED
Blink,1907326,BLOCKED
Sensor,1907341,RUNNING
Sensor,1907866,BLOCKED
Sensor,1957323,RUNNING
Sensor,1957849,BLOCKED
Blink,2007339,RUNNING
Sensor,2007354,RUNNING
Sensor,2007880,BLOCKED
Sensor,2057323,RUNNING
Sensor,2057849,BLOCKED
Blink,2107326,BLOCKED
Sensor,2107341,RUNNING
Sensor,2107866,BLOCKED
Sensor,2157323,RUNNING
Sensor,2157849,BLOCKED
Blink,2207325,RUNNING
Sensor,2207341,RUNNING
Sensor,2207866,BLOCKED
Sensor,2257323,RUNNING
Sensor,2257849,BLOCKED
Blink,2307326,BLOCKED
Sensor,2307341,RUNNING
Sensor,2307866,BLOCKED
Sensor,2357323,RUNNING
Sensor,2357849,BLOCKED
Blink,2407325,RUNNING
Sensor,2407341,RUNNING
Sensor,2407866,BLOCKED
Sensor,2457323,RUNNING
Sensor,2457849,BLOCKED
Blink,2507340,BLOCKED
Sensor,2507354,RUNNING
Sensor,2507880,BLOCKED
Sensor,2557323,RUNNING
