task_name,timestamp_us,state_or_value,type
SYSTEM_RAM,7434,3672,RAM
Blink,7466,RUNNING,STATE
Blink,7474,RUNNING,STATE
Sensor,7489,RUNNING,STATE
Sensor,8019,RUNNING,STATE
Sensor,57428,RUNNING,STATE
Sensor,57955,RUNNING,STATE
Sensor,107428,RUNNING,STATE
Sensor,107955,RUNNING,STATE
Sensor,157428,RUNNING,STATE
Sensor,157955,RUNNING,STATE
Blink,207429,RUNNING,STATE
Blink,207436,RUNNING,STATE
Sensor,207451,RUNNING,STATE
Sensor,207979,RUNNING,STATE
Sensor,257428,RUNNING,STATE
Sensor,257955,RUNNING,STATE
Sensor,307428,RUNNING,STATE
Sensor,307955,RUNNING,STATE
Sensor,357428,RUNNING,STATE
Sensor,357955,RUNNING,STATE
Blink,407429,RUNNING,STATE
Blink,407436,RUNNING,STATE
Sensor,407452,RUNNING,STATE
Sensor,407979,RUNNING,STATE
Sensor,457428,RUNNING,STATE
Sensor,457955,RUNNING,STATE
SYSTEM_RAM,507428,3672,RAM
Sensor,507446,RUNNING,STATE
Sensor,507973,RUNNING,STATE
Sensor,557428,RUNNING,STATE
Sensor,557955,RUNNING,STATE
Blink,607429,RUNNING,STATE
Blink,607436,RUNNING,STATE
Sensor,607451,RUNNING,STATE
Sensor,607979,RUNNING,STATE
Sensor,657428,RUNNING,STATE
Sensor,657955,RUNNING,STATE
Sensor,707428,RUNNING,STATE
Sensor,707955,RUNNING,STATE
Sensor,757428,RUNNING,STATE
Sensor,757955,RUNNING,STATE
Blink,807429,RUNNING,STATE
Blink,807436,RUNNING,STATE
Sensor,807452,RUNNING,STATE
Sensor,807979,RUNNING,STATE
Sensor,857428,RUNNING,STATE
Sensor,857955,RUNNING,STATE
Sensor,907428,RUNNING,STATE
Sensor,907955,RUNNING,STATE
Sensor,957428,RUNNING,STATE
Sensor,957955,RUNNING,STATE
Heavy,1007433,RUNNING,STATE
Blink,1007437,RUNNING,STATE
Sensor,1007441,RUNNING,STATE
SYSTEM_RAM,1007456,3672,RAM
Blink,1007472,RUNNING,STATE
Blink,1007479,RUNNING,STATE
Sensor,1007495,RUNNING,STATE
Sensor,1008025,RUNNING,STATE
Heavy,1057429,RUNNING,STATE
Sensor,1057445,RUNNING,STATE
Sensor,1057972,RUNNING,STATE
Sensor,1107428,RUNNING,STATE
Sensor,1107955,RUNNING,STATE
Sensor,1157428,RUNNING,STATE
Sensor,1157955,RUNNING,STATE
Blink,1207429,RUNNING,STATE
Blink,1207436,RUNNING,STATE
Sensor,1207452,RUNNING,STATE
Sensor,1207979,RUNNING,STATE
Sensor,1257428,RUNNING,STATE
Sensor,1257955,RUNNING,STATE
Sensor,1307428,RUNNING,STATE
Sensor,1307955,RUNNING,STATE
Sensor,1357428,RUNNING,STATE
Sensor,1357955,RUNNING,STATE
Blink,1407429,RUNNING,STATE
Blink,1407436,RUNNING,STATE
Sensor,1407452,RUNNING,STATE
Sensor,1407979,RUNNING,STATE
Sensor,1457428,RUNNING,STATE
Sensor,1457955,RUNNING,STATE
SYSTEM_RAM,1507428,3672,RAM
Sensor,1507445,RUNNING,STATE
Sensor,1507973,RUNNING,STATE
Sensor,1557428,RUNNING,STATE
Sensor,1557955,RUNNING,STATE
Blink,1607429,RUNNING,STATE
Blink,1607436,RUNNING,STATE
Sensor,1607452,RUNNING,STATE
Sensor,1607979,RUNNING,STATE
Sensor,1657428,RUNNING,STATE
Sensor,1657955,RUNNING,STATE
Sensor,1707428,RUNNING,STATE
Sensor,1707955,RUNNING,STATE
Sensor,1757428,RUNNING,STATE
Sensor,1757955,RUNNING,STATE
Blink,1807429,RUNNING,STATE
Sensor,1807435,RUNNING,STATE
Sensor,1807451,RUNNING,STATE
Sensor,1807979,RUNNING,STATE
Sensor,1857428,RUNNING,STATE
Sensor,1857955,RUNNING,STATE
Sensor,1907428,RUNNING,STATE
Sensor,1907955,RUNNING,STATE
